"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Paul Goldschmidt","STL","158","679","31","102","99","12","9.9%","20.0%",".221",".331",".294",".365",".514",".373",".397","137","2.3","34.7","-7.2","5.0","9218"
"Shohei Ohtani","LAA","158","639","46","103","100","26","15.0%","29.6%",".335",".303",".257",".372",".592",".393",".411","151","2.5","42.1","-13.6","5.0","19755"
"Brandon Lowe","TBR","149","615","39","97","99","7","11.1%","27.2%",".277",".280",".247",".340",".523",".363",".360","137","4.9","32.7","-4.4","4.9","18882"
"Buster Posey","SFG","113","454","18","68","56","0","12.3%","19.2%",".195",".349",".304",".390",".499",".379",".361","139","-2.9","19.8","13.8","4.9","9166"
"Freddie Freeman","ATL","159","695","31","120","83","8","12.2%","15.4%",".203",".321",".300",".393",".503",".379",".416","135","3.3","34.6","-9.6","4.8","5361"
"Max Muncy","LAD","144","592","36","95","94","2","14.0%","20.3%",".278",".257",".249",".368",".527",".379",".407","139","2.1","31.6","-3.7","4.8","13301"
"Austin Riley","ATL","160","662","33","91","107","0","7.9%","25.4%",".227",".368",".303",".367",".531",".379",".366","136","-4.1","26.0","-1.2","4.7","18360"
"Tim Anderson","CHW","123","551","17","94","61","18","4.0%","21.6%",".159",".372",".309",".338",".469",".345",".329","119","6.1","18.8","9.0","4.7","15172"
"Kyle Tucker","HOU","140","567","30","83","92","14","9.3%","15.9%",".263",".304",".294",".359",".557",".383",".396","145","2.4","34.0","-7.3","4.6","18345"
"Will Smith","LAD","130","501","25","71","76","3","11.6%","20.2%",".237",".274",".258",".365",".495",".364",".364","130","-1.0","17.9","10.7","4.6","19197"
"Mike Zunino","TBR","109","375","33","64","62","0","9.1%","35.2%",".342",".231",".216",".301",".559",".358",".354","134","0.6","16.0","16.3","4.5","13265"
"J.T. Realmuto","PHI","134","537","17","64","73","13","8.9%","24.0%",".176",".325",".263",".343",".439",".336",".329","108","5.5","11.1","15.6","4.5","11739"
"Xander Bogaerts","BOS","144","603","23","90","79","5","10.3%","18.7%",".198",".333",".295",".370",".493",".368",".359","130","1.2","23.1","-0.2","4.4","12161"
"Ronald Acuna Jr.","ATL","82","360","24","72","52","17","13.6%","23.6%",".313",".311",".283",".394",".596",".412",".429","157","3.8","29.8","1.5","4.3","18401"
"Teoscar Hernandez","TOR","143","595","32","92","116","12","6.1%","24.9%",".227",".352",".296",".346",".524",".369",".370","132","2.3","25.5","-3.0","4.3","13066"
"Manny Machado","SDP","153","640","28","92","106","12","9.8%","15.9%",".211",".290",".278",".347",".489",".350",".376","122","-2.1","16.1","4.9","4.3","11493"
"Francisco Lindor","NYM","125","524","20","73","63","10","11.1%","18.3%",".181",".248",".230",".322",".412",".317",".345","103","2.0","4.0","20.8","4.2","12916"
"Rafael Devers","BOS","156","664","38","101","113","5","9.3%","21.5%",".259",".307",".279",".352",".538",".373",".394","133","0.1","26.9","-7.3","4.2","17350"
"Justin Turner","LAD","151","612","27","87","87","3","10.0%","16.0%",".193",".292",".278",".361",".471",".358",".359","126","-1.0","19.3","2.3","4.2","5235"
"Joey Gallo","- - -","153","616","38","90","77","6","18.0%","34.6%",".259",".246",".199",".351",".458",".348",".354","122","4.2","20.9","0.0","4.2","14128"
"Jorge Polanco","MIN","152","644","33","97","98","11","7.0%","18.3%",".235",".282",".269",".323",".503",".349",".348","124","3.1","21.8","-2.1","4.2","13152"
"Byron Buxton","MIN","61","254","19","50","32","9","5.1%","24.4%",".340",".344",".306",".358",".647",".419",".407","171","4.4","26.4","6.2","4.1","14161"
"Nolan Arenado","STL","157","653","34","81","105","2","7.7%","14.7%",".239",".249",".255",".312",".494",".336",".311","113","-0.4","10.4","8.8","4.1","9777"
"Matt Chapman","OAK","151","622","27","75","72","3","12.9%","32.5%",".193",".272",".210",".314",".403",".311",".321","102","2.0","3.5","16.4","4.1","16505"
"Jake Cronenworth","SDP","152","643","21","94","71","4","8.6%","14.0%",".194",".283",".266",".340",".460",".341",".344","116","2.1","15.6","3.7","4.1","18036"
"Javier Baez","- - -","138","547","31","80","87","18","5.1%","33.6%",".229",".352",".265",".319",".494",".344",".325","117","3.0","14.9","7.0","4.0","12979"
"Yoan Moncada","CHW","144","616","14","74","61","3","13.6%","25.5%",".148",".350",".263",".375",".412",".347",".353","120","0.3","15.8","3.1","4.0","17232"
"Jeimer Candelario","DET","149","626","16","75","67","0","10.4%","21.6%",".172",".333",".271",".351",".443",".344",".356","120","1.0","16.5","1.2","3.9","13621"
"Enrique Hernandez","BOS","134","585","20","84","60","1","10.4%","18.8%",".199",".278",".250",".337",".449",".338",".346","109","3.0","9.6","9.5","3.9","10472"
"Ozzie Albies","ATL","156","686","30","103","106","20","6.9%","18.7%",".229",".278",".259",".310",".488",".336",".332","107","8.3","14.7","1.1","3.9","16556"
"Mookie Betts","LAD","122","550","23","93","58","10","12.4%","15.6%",".223",".276",".264",".367",".487",".365",".357","130","-1.2","20.2","-0.5","3.8","13611"
"Randy Arozarena","TBR","141","604","20","94","69","20","9.3%","28.1%",".185",".363",".274",".356",".459",".350",".304","128","1.5","21.9","-4.9","3.8","19290"
"Yordan Alvarez","HOU","144","598","33","92","104","1","8.4%","24.2%",".253",".320",".277",".346",".531",".369",".389","137","0.5","27.4","-11.0","3.7","19556"
"Corey Seager","LAD","95","409","16","54","57","1","11.7%","16.1%",".215",".336",".306",".394",".521",".389",".392","146","-1.9","22.1","0.4","3.6","13624"
"Yasmani Grandal","CHW","93","375","23","60","62","0","23.2%","21.9%",".280",".246",".240",".420",".520",".402",".412","158","-4.7","21.7","1.4","3.6","11368"
"Joey Votto","CIN","129","533","36","73","99","1","14.4%","23.8%",".297",".287",".266",".375",".563",".391",".406","139","0.4","26.9","-9.0","3.6","4314"
"Adam Frazier","- - -","155","639","5","83","43","10","7.5%","10.8%",".106",".339",".305",".368",".411",".341",".324","113","-0.1","10.8","3.4","3.6","15223"
"Nick Castellanos","CIN","138","585","34","95","100","3","7.0%","20.7%",".267",".340",".309",".362",".576",".391",".374","139","-0.5","28.5","-13.0","3.5","11737"
"Brandon Belt","SFG","97","381","29","65","59","3","12.6%","27.0%",".323",".309",".274",".378",".597",".406",".374","157","-2.1","25.6","-4.5","3.4","10264"
"Dansby Swanson","ATL","160","653","27","78","88","9","8.0%","25.6%",".201",".297",".248",".311",".449",".322",".332","99","3.4","2.2","9.6","3.4","18314"
"Jean Segura","PHI","131","567","14","76","58","9","6.9%","13.8%",".146",".317",".290",".348",".436",".338",".319","109","-1.2","5.6","9.0","3.4","5933"
"Sean Murphy","OAK","119","448","17","47","59","0","8.9%","25.4%",".188",".257",".216",".306",".405",".309",".337","100","-1.2","-1.0","19.1","3.3","19352"
"J.P. Crawford","SEA","160","687","9","89","54","3","8.4%","16.6%",".103",".320",".273",".338",".376",".314",".298","103","-2.7","0.1","9.6","3.3","15491"
"Brandon Nimmo","NYM","92","386","8","51","28","5","14.0%","20.5%",".145",".366",".292",".401",".437",".369",".350","137","-0.9","17.3","2.7","3.3","12927"
"Harrison Bader","STL","103","401","16","45","50","9","6.7%","21.2%",".193",".306",".267",".324",".460",".331",".295","110","2.5","7.5","12.0","3.3","18030"
"Willy Adames","- - -","140","555","25","77","73","5","10.3%","28.1%",".219",".331",".262",".337",".481",".349",".325","120","0.2","14.4","-0.2","3.3","15986"
"Luis Robert","CHW","68","296","13","42","43","6","4.7%","20.6%",".229",".394",".338",".378",".567",".399",".382","155","1.4","21.5","1.3","3.3","20043"
"Pete Alonso","NYM","152","637","37","81","94","3","9.4%","19.9%",".257",".274",".262",".344",".519",".363",".377","133","-5.1","21.5","-10.0","3.3","19251"
"Salvador Perez","KCR","161","665","48","88","121","1","4.2%","25.6%",".271",".298",".273",".316",".544",".359",".374","126","-0.8","20.3","-10.3","3.3","7304"
"Yuli Gurriel","HOU","143","605","15","83","81","1","9.8%","11.2%",".143",".336",".319",".383",".462",".363",".326","132","-1.6","22.4","-10.5","3.3","19198"
"Adolis Garcia","TEX","149","622","31","77","90","16","5.1%","31.2%",".212",".306",".243",".286",".454",".314",".299","99","-1.4","-2.4","13.7","3.3","19287"
"Myles Straw","- - -","158","638","4","86","48","30","10.5%","19.0%",".076",".336",".271",".349",".348",".311",".303","97","6.1","3.6","6.4","3.2","17620"
"Ty France","SEA","152","650","18","85","73","0","7.1%","16.3%",".154",".327",".291",".368",".445",".353",".346","130","-2.7","20.9","-11.7","3.1","17982"
"Kris Bryant","- - -","144","586","25","86","73","10","10.6%","23.0%",".216",".313",".265",".353",".481",".356",".346","124","5.4","23.0","-11.8","3.1","15429"
"Mark Canha","OAK","141","625","17","93","61","12","12.3%","20.5%",".156",".274",".231",".358",".387",".333",".332","117","2.0","14.7","-5.2","3.1","11445"
"Tony Kemp","OAK","131","397","8","54","37","8","13.1%","12.8%",".139",".304",".279",".382",".418",".351",".321","129","3.8","17.9","-0.7","3.1","14894"
"A.J. Pollock","LAD","117","422","21","53","69","9","7.1%","19.0%",".240",".326",".297",".355",".536",".375",".359","137","0.6","20.3","-4.0","3.1","9256"
"Josh Donaldson","MIN","135","543","26","73","72","0","13.6%","21.0%",".228",".268",".247",".352",".475",".353",".388","126","-4.3","13.1","-1.3","3.0","5038"
"Whit Merrifield","KCR","162","720","10","97","74","40","5.6%","14.3%",".117",".309",".277",".317",".395",".306",".301","90","7.4","-1.3","6.9","3.0","11281"
"Jonathan India","CIN","150","631","21","98","69","12","11.3%","22.3%",".190",".326",".269",".376",".459",".363",".352","120","-0.9","15.4","-6.5","3.0","21523"
"Chris Taylor","LAD","148","582","20","92","73","13","10.8%","28.7%",".183",".337",".254",".344",".438",".338",".329","113","6.5","15.9","-6.0","3.0","13757"
"Jesse Winker","CIN","110","485","24","77","71","1","10.9%","15.5%",".251",".324",".305",".394",".556",".403",".390","147","-6.5","22.4","-9.3","2.9","13590"
"Joey Wendle","TBR","136","501","11","73","54","8","5.6%","22.6%",".157",".327",".265",".319",".422",".317",".286","105","-0.2","3.1","8.9","2.9","13853"
"Max Stassi","LAA","87","319","13","45","35","0","8.8%","31.7%",".184",".325",".241",".326",".426",".327",".323","105","-1.4","0.8","17.1","2.9","10059"
"Avisail Garcia","MIL","135","515","29","68","86","8","7.4%","23.5%",".228",".291",".262",".330",".490",".346",".366","116","-0.5","9.8","1.3","2.8","5760"
"Omar Narvaez","MIL","123","445","11","54","49","0","9.2%","18.9%",".136",".308",".266",".342",".402",".322",".304","100","-2.5","-2.3","15.8","2.8","13338"
"Kyle Schwarber","- - -","113","471","32","76","71","1","13.6%","27.0%",".288",".306",".266",".374",".554",".392",".399","145","-1.6","24.9","-12.5","2.8","16478"
"Darin Ruf","SFG","117","312","16","41","43","2","14.7%","27.9%",".248",".344",".271",".385",".519",".384",".381","143","-1.0","16.0","1.7","2.8","9929"
"J.D. Martinez","BOS","148","634","28","92","99","0","8.7%","23.7%",".232",".340",".286",".349",".518",".364",".374","127","-3.1","17.8","-11.4","2.8","6184"
"Tommy Edman","STL","159","691","11","91","56","30","5.5%","13.7%",".125",".291",".262",".308",".387",".301",".316","90","8.0","-0.6","5.2","2.8","19470"
"Trevor Story","COL","142","595","24","88","75","20","8.9%","23.4%",".221",".293",".251",".329",".471",".341",".335","98","6.4","5.3","2.4","2.8","12564"
"Adam Duvall","- - -","146","555","38","67","113","5","6.3%","31.4%",".263",".260",".228",".281",".491",".324",".330","103","-2.4","-0.6","9.0","2.7","10950"
"Jose Abreu","CHW","152","659","30","86","117","1","9.3%","21.7%",".219",".293",".261",".351",".481",".354",".349","125","-4.5","15.7","-11.4","2.7","15676"
"Kyle Seager","SEA","159","670","35","73","101","3","8.8%","24.0%",".226",".226",".212",".285",".438",".308",".319","99","-1.9","-2.8","6.6","2.7","9785"
"Dylan Carlson","STL","149","619","18","79","65","2","9.2%","24.6%",".172",".332",".266",".343",".437",".336",".322","113","0.1","10.4","-5.1","2.6","20126"
"Eduardo Escobar","- - -","146","599","28","77","90","1","8.0%","20.7%",".219",".279",".253",".314",".472",".334",".328","107","0.4","5.9","-0.2","2.6","6153"
"Jacob Stallings","PIT","112","427","8","38","53","0","11.5%","19.9%",".123",".297",".246",".335",".369",".312",".314","94","-1.9","-5.4","16.4","2.5","13723"
"Jonathan Villar","NYM","142","505","18","63","42","14","9.1%","26.1%",".167",".313",".249",".322",".416",".320",".307","105","3.6","6.8","1.5","2.5","10071"
"Kevin Kiermaier","TBR","122","390","4","54","37","9","8.5%","25.4%",".129",".345",".259",".328",".388",".310",".283","101","2.2","2.7","9.1","2.5","11038"
"Mitch Haniger","SEA","157","691","39","110","100","1","7.8%","24.5%",".232",".281",".253",".318",".485",".340",".353","121","-1.4","16.1","-14.7","2.5","14274"
"Kolten Wong","MIL","116","492","14","70","50","12","6.3%","16.9%",".175",".305",".272",".335",".447",".337",".308","110","1.4","7.5","0.8","2.5","12532"
"George Springer","TOR","78","342","22","59","50","4","10.8%","23.1%",".291",".286",".264",".352",".555",".381",".361","140","-1.2","15.6","-2.5","2.5","12856"
"Manuel Margot","TBR","125","464","10","55","57","13","8.0%","15.1%",".128",".281",".254",".313",".382",".301",".318","95","1.6","-1.4","10.2","2.5","14712"
"Ryan McMahon","COL","151","596","23","80","86","6","9.9%","24.7%",".195",".306",".254",".331",".449",".334",".325","94","-1.6","-6.2","10.7","2.5","15112"
"Giancarlo Stanton","NYY","139","579","35","64","97","0","10.9%","27.1%",".243",".324",".273",".354",".516",".370",".363","137","-7.0","19.1","-14.5","2.4","4949"
"Wander Franco","TBR","70","308","7","53","39","2","7.8%","12.0%",".174",".311",".288",".347",".463",".348",".329","126","3.1","13.0","0.3","2.4","23667"
"Amed Rosario","CLE","141","588","11","77","57","13","5.3%","20.4%",".127",".340",".282",".321",".409",".315",".300","99","1.2","0.8","2.7","2.4","15518"
"Jared Walsh","LAA","144","585","29","70","98","2","8.2%","26.0%",".232",".335",".277",".340",".509",".357",".326","126","-1.1","17.6","-14.2","2.3","18607"
"Ketel Marte","ARI","90","374","14","52","50","2","8.3%","16.0%",".215",".352",".318",".377",".532",".385",".372","140","-0.4","18.5","-7.8","2.3","13613"
"Mike Yastrzemski","SFG","139","532","25","75","71","4","9.6%","24.6%",".233",".254",".224",".311",".457",".326",".318","105","3.9","7.2","-1.8","2.3","14854"
"Robbie Grossman","DET","156","671","23","88","67","20","14.6%","23.1%",".176",".286",".239",".357",".415",".337",".334","116","2.0","14.8","-14.5","2.3","5254"
"Brett Phillips","TBR","119","292","13","50","44","14","11.3%","38.7%",".221",".302",".206",".300",".427",".313",".284","103","3.5","4.5","8.8","2.3","14735"
"Max Kepler","MIN","121","490","19","61","54","10","11.0%","19.6%",".202",".225",".211",".306",".413",".309",".347","97","5.0","3.0","3.3","2.3","12144"
"Josh Harrison","- - -","138","558","8","58","60","9","5.6%","13.4%",".121",".313",".279",".341",".400",".325",".333","104","-0.5","2.5","1.7","2.3","8202"
"Michael Brantley","HOU","121","508","8","68","47","1","6.5%","10.4%",".126",".337",".311",".362",".437",".347",".361","121","-1.2","12.0","-6.3","2.3","4106"
"Patrick Wisdom","CHC","106","375","28","54","61","4","8.5%","40.8%",".287",".318",".231",".305",".518",".346",".321","117","-0.6","7.5","2.9","2.3","13602"
"Willson Contreras","CHC","128","483","21","61","57","5","10.8%","28.6%",".201",".298",".237",".340",".438",".337",".346","111","-3.7","2.9","3.5","2.3","11609"
"Daulton Varsho","ARI","95","315","11","41","38","6","9.5%","21.3%",".190",".286",".246",".318",".437",".322",".323","99","5.0","4.6","7.4","2.3","19918"
"Austin Hays","BAL","131","529","22","73","71","4","5.3%","20.2%",".205",".286",".256",".308",".461",".328",".316","106","-0.3","3.8","0.7","2.3","19363"
"C.J. Cron","COL","142","547","28","70","92","1","11.0%","21.4%",".249",".316",".281",".375",".530",".383",".364","126","-3.2","14.9","-10.8","2.2","12546"
"Mitch Garver","MIN","68","243","13","29","34","1","12.8%","29.2%",".261",".320",".256",".358",".517",".372",".386","139","-0.1","11.4","2.3","2.2","15161"
"Trent Grisham","SDP","132","527","15","61","62","13","10.2%","22.6%",".171",".292",".242",".327",".413",".320",".309","103","2.0","4.2","0.0","2.2","18564"
"Chas McCormick","HOU","108","320","14","47","50","4","7.8%","32.5%",".190",".341",".257",".319",".447",".327",".311","108","-0.4","2.6","8.1","2.2","19599"
"Luis Urias","MIL","150","570","23","77","75","5","11.1%","20.4%",".196",".280",".249",".345",".445",".340",".333","112","-0.7","8.1","-5.9","2.1","16622"
"Miguel Rojas","MIA","132","539","9","66","48","13","6.9%","13.7%",".127",".295",".265",".322",".392",".311",".292","96","1.5","-1.3","4.6","2.1","7802"
"Anthony Rizzo","- - -","141","576","22","73","61","6","9.0%","15.1%",".192",".258",".248",".344",".440",".339",".347","113","-1.8","7.9","-6.0","2.1","3473"
"Jonathan Schoop","DET","156","674","22","85","84","2","5.5%","19.7%",".157",".317",".278",".320",".435",".324",".311","107","-2.1","3.4","-5.2","2.1","11265"
"Alex Bregman","HOU","91","400","12","54","55","1","11.0%","13.3%",".152",".286",".270",".355",".422",".336",".332","114","-2.2","4.5","2.8","2.1","17678"
"Hunter Renfroe","BOS","144","572","31","89","96","1","7.7%","22.7%",".242",".284",".259",".315",".501",".344",".354","113","-2.6","6.7","-5.9","2.0","15464"
"Nelson Cruz","- - -","140","584","32","79","86","3","8.7%","21.6%",".232",".286",".265",".334",".497",".346",".363","123","-1.9","14.7","-14.3","2.0","2434"
"Wil Myers","SDP","146","500","17","56","63","8","10.8%","28.2%",".179",".333",".256",".334",".434",".330",".295","110","0.5","6.7","-3.5","2.0","10047"
"Rhys Hoskins","PHI","107","443","27","64","71","3","10.6%","24.4%",".283",".270",".247",".334",".530",".364",".378","127","-1.5","13.7","-8.7","2.0","16472"
"Josh Bell","WSN","144","568","27","75","88","0","11.4%","17.8%",".215",".276",".261",".347",".476",".352",".367","119","-6.0","7.5","-6.7","2.0","13145"
"DJ LeMahieu","NYY","150","679","10","84","57","4","10.8%","13.8%",".094",".301",".268",".349",".362",".315",".340","100","-1.7","-1.6","-1.6","2.0","9874"
"Ke'Bryan Hayes","PIT","96","396","6","49","38","9","7.8%","22.0%",".116",".321",".257",".316",".373",".301",".299","87","0.9","-5.7","12.3","2.0","18577"
"Alex Verdugo","BOS","146","604","13","88","63","6","8.4%","15.9%",".138",".327",".289",".351",".426",".334",".342","107","2.0","6.9","-7.7","2.0","17027"
"Michael A. Taylor","KCR","142","528","12","58","54","14","6.3%","27.3%",".112",".319",".244",".297",".356",".286",".300","76","0.3","-15.1","16.7","2.0","11489"
"Steven Duggar","SFG","107","297","8","45","35","7","9.1%","29.6%",".179",".355",".257",".330",".437",".327",".308","106","3.7","5.9","3.6","1.9","17719"
"Jazz Chisholm Jr.","MIA","124","507","18","70","53","23","6.7%","28.6%",".177",".319",".248",".303",".425",".312",".307","97","3.3","1.2","1.2","1.9","20454"
"Ramon Laureano","OAK","88","378","14","43","39","12","7.1%","25.9%",".196",".304",".246",".317",".443",".327",".335","113","0.1","6.0","0.4","1.9","17128"
"Frank Schwindel","- - -","64","259","14","44","43","2","6.2%","15.8%",".264",".348",".326",".371",".591",".403",".332","154","-0.9","17.0","-6.4","1.9","15351"
"Santiago Espinal","TOR","92","246","2","32","17","6","8.9%","12.2%",".095",".353",".311",".376",".405",".344",".307","115","2.3","6.8","3.8","1.9","19997"
"Tyler Stephenson","CIN","132","402","10","56","45","0","10.2%","18.7%",".146",".333",".286",".366",".431",".346",".324","110","-2.1","2.8","2.6","1.9","17988"
"Akil Baddoo","DET","124","461","13","60","55","18","9.8%","26.5%",".177",".335",".259",".330",".436",".329",".309","110","3.9","9.5","-6.5","1.9","22168"
"Kyle Farmer","CIN","147","529","16","60","63","2","4.2%","18.3%",".153",".296",".263",".316",".416",".316",".302","90","-1.5","-8.2","9.1","1.9","14813"
"Yandy Diaz","TBR","134","541","13","62","64","1","12.8%","15.7%",".131",".286",".256",".353",".387",".325",".332","111","-2.2","4.8","-4.7","1.9","16578"
"Edmundo Sosa","STL","113","326","6","39","27","4","5.2%","19.3%",".118",".326",".271",".346",".389",".322",".326","104","-1.0","0.6","6.6","1.8","17022"
"Leury Garcia","CHW","126","474","5","60","54","6","8.6%","20.5%",".108",".333",".267",".335",".376",".312",".291","97","3.4","1.6","0.2","1.8","5913"
"Carson Kelly","ARI","98","359","13","41","46","0","12.3%","20.6%",".171",".270",".240",".343",".411",".328",".346","103","-1.0","0.4","5.2","1.8","13620"
"Lourdes Gurriel Jr.","TOR","141","541","21","62","84","1","5.9%","18.9%",".190",".305",".276",".319",".466",".333",".339","107","-2.0","3.0","-3.9","1.8","19238"
"Josh Rojas","ARI","139","550","11","69","44","9","10.5%","24.9%",".147",".345",".264",".341",".411",".327",".299","102","4.6","6.3","-7.2","1.8","19734"
"David Peralta","ARI","150","538","8","57","63","2","8.6%","17.1%",".144",".303",".259",".325",".402",".314",".293","94","2.0","-2.2","1.3","1.7","2136"
"Evan Longoria","SFG","81","291","13","45","46","1","12.0%","23.4%",".221",".305",".261",".351",".482",".352",".351","122","-1.8","6.3","1.0","1.7","9368"
"Andrew Benintendi","KCR","134","538","17","63","73","8","6.7%","18.0%",".166",".309",".276",".324",".442",".328",".331","105","-0.1","3.2","-4.4","1.7","17901"
"Isiah Kiner-Falefa","TEX","158","677","8","74","53","20","4.1%","13.3%",".087",".304",".271",".312",".357",".293",".292","84","4.2","-8.9","2.8","1.7","16512"
"Nathaniel Lowe","TEX","157","642","18","75","72","8","12.5%","25.2%",".151",".339",".264",".357",".415",".337",".323","114","-2.2","8.9","-14.0","1.7","19566"
"Jose Iglesias","- - -","137","511","9","65","48","5","4.1%","14.7%",".120",".305",".271",".309",".391",".304",".297","90","-0.2","-6.8","5.9","1.7","10231"
"Austin Meadows","TBR","142","591","27","79","106","4","10.0%","20.6%",".224",".249",".234",".315",".458",".327",".326","113","-1.7","7.4","-11.3","1.6","15672"
"Yan Gomes","- - -","103","375","14","49","52","0","5.1%","20.8%",".169",".287",".252",".301",".421",".308",".341","94","-0.9","-3.8","7.3","1.6","9627"
"Cesar Hernandez","- - -","149","637","21","84","62","1","9.3%","21.2%",".154",".266",".232",".308",".386",".302",".311","90","0.8","-7.0","1.4","1.6","10556"
"LaMonte Wade Jr.","SFG","109","381","18","52","56","6","8.7%","23.4%",".229",".289",".253",".326",".482",".343",".347","116","-0.9","6.9","-3.5","1.6","18126"
"Luis Arraez","MIN","121","479","2","58","42","2","9.0%","10.0%",".082",".323",".294",".357",".376",".321",".337","105","0.7","3.4","-3.8","1.6","18568"
"Elvis Andrus","OAK","146","541","3","60","37","12","5.7%","15.0%",".076",".283",".243",".294",".320",".270",".308","74","4.5","-12.9","10.1","1.6","8709"
"Elias Diaz","COL","106","371","18","52","44","0","8.1%","16.2%",".219",".249",".246",".310",".464",".330",".318","91","-4.4","-8.5","11.7","1.6","11680"
"Christian Yelich","MIL","117","475","9","70","51","9","14.7%","23.8%",".125",".321",".248",".362",".373",".325",".337","102","1.8","2.9","-3.4","1.6","11477"
"Manny Pina","MIL","75","208","13","27","33","0","10.6%","18.3%",".250",".162",".189",".293",".439",".315",".331","96","-0.2","-1.4","9.8","1.5","2829"
"Lorenzo Cain","MIL","78","286","8","40","36","13","9.1%","16.8%",".144",".287",".257",".329",".401",".319",".317","98","4.0","3.3","2.4","1.5","9077"
"Rafael Ortega","CHC","103","330","11","44","33","12","9.1%","21.2%",".172",".349",".291",".360",".463",".355",".311","122","0.3","9.6","-5.3","1.5","10323"
"Bradley Zimmer","CLE","99","348","8","44","35","15","8.6%","35.1%",".117",".347",".227",".325",".344",".300",".317","89","2.0","-2.7","6.2","1.5","16221"
"Wilmer Flores","SFG","139","436","18","57","53","1","9.4%","12.8%",".185",".264",".262",".335",".447",".337",".312","112","-4.0","2.8","-2.1","1.5","5827"
"Alcides Escobar","WSN","75","349","4","53","28","3","4.9%","16.0%",".116",".337",".288",".340",".404",".325",".309","101","2.4","2.8","0.6","1.5","6310"
"Andrew McCutchen","PHI","144","574","27","78","80","6","14.1%","23.0%",".222",".242",".222",".334",".444",".335",".344","108","1.5","7.0","-11.2","1.5","9847"
"Gary Sanchez","NYY","117","440","23","54","54","0","11.8%","27.5%",".219",".230",".204",".307",".423",".314",".336","100","-3.5","-3.7","3.5","1.5","11442"
"Austin Slater","SFG","129","306","12","39","32","15","9.2%","27.5%",".182",".303",".241",".320",".423",".321",".335","101","2.4","3.0","1.2","1.4","16153"
"J.D. Davis","NYM","73","211","5","18","23","1","11.4%","32.2%",".151",".426",".285",".384",".436",".357",".338","129","0.4","8.3","-1.2","1.4","16219"
